endpoint,category,method_hints,source_count,source_files,sources_sample,observed_statuses
/api/third-part/uploads/{expr}/thumbnail,third-part,UNKNOWN,183,183,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/uploads/{expr}/thumbnail?preview=true,uploads,UNKNOWN,183,183,raw/ilearn.thu.edu.tw/course-advance-setting.html; raw/ilearn.thu.edu.tw/course-audits.html; raw/ilearn.thu.edu.tw/course-catalog-wrapper.html; raw/ilearn.thu.edu.tw/course-classifications.html; raw/ilearn.thu.edu.tw/course-completeness__q_ee1eaef797.html; raw/ilearn.thu.edu.tw/course-cover.html; raw/ilearn.thu.edu.tw/course-credit-setting.html; raw/ilearn.thu.edu.tw/course-estimate-wrapper.html; raw/ilearn.thu.edu.tw/course-estimates-replies/index.html; raw/ilearn.thu.edu.tw/course-estimates/avatarSmallUrl.html,
/api/activities/,activities,DELETE; GET; OBSERVED_GET; POST; PUT,82,36,raw/ilearn.thu.edu.tw/api/activities/index.json; raw/ilearn.thu.edu.tw/static/16941-c2ecc958.js; raw/ilearn.thu.edu.tw/static/16985.5dac5529.js; raw/ilearn.thu.edu.tw/static/20307-0fd301f4.js; raw/ilearn.thu.edu.tw/static/2276.c8da6806.js; raw/ilearn.thu.edu.tw/static/23977.ebaa5322.js; raw/ilearn.thu.edu.tw/static/25170.2159310c.js; raw/ilearn.thu.edu.tw/static/37873.f1187b3e.js; raw/ilearn.thu.edu.tw/static/39538.e12d5a24.js; raw/ilearn.thu.edu.tw/static/40251.b93d27d4.js,404
/api/exams/,exams,DELETE; GET; OBSERVED_GET; PATCH; POST; PUT; UNKNOWN,65,29,raw/ilearn.thu.edu.tw/api/exams/index.json; raw/ilearn.thu.edu.tw/static/13149-ab088423.js; raw/ilearn.thu.edu.tw/static/14615.8c38d7d4.js; raw/ilearn.thu.edu.tw/static/15682.5cfcfdda.js; raw/ilearn.thu.edu.tw/static/19446.6fdaa169.js; raw/ilearn.thu.edu.tw/static/20307-0fd301f4.js; raw/ilearn.thu.edu.tw/static/24059.e4bb5098.js; raw/ilearn.thu.edu.tw/static/31110.2a0173f2.js; raw/ilearn.thu.edu.tw/static/32436.9894d604.js; raw/ilearn.thu.edu.tw/static/34691.515731f8.js,404
/api/group-sets/,group-sets,DELETE; GET; OBSERVED_GET; POST; PUT,51,18,raw/ilearn.thu.edu.tw/api/group-sets/index.json; raw/ilearn.thu.edu.tw/static/25170.2159310c.js; raw/ilearn.thu.edu.tw/static/26703.244911cf.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/36105.3af57479.js; raw/ilearn.thu.edu.tw/static/42585.3fa356ed.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/55200.e380810d.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/66297.9aa2f6d5.js,404
/api/orgs/,orgs,GET; OBSERVED_GET; POST; PUT; UNKNOWN,47,34,raw/ilearn.thu.edu.tw/api/orgs/index.json; raw/ilearn.thu.edu.tw/static/10257.5f75a4b2.js; raw/ilearn.thu.edu.tw/static/11812.92e9ccfe.js; raw/ilearn.thu.edu.tw/static/19832.b33b43a5.js; raw/ilearn.thu.edu.tw/static/21137.a69eb96c.js; raw/ilearn.thu.edu.tw/static/21943.5dca6268.js; raw/ilearn.thu.edu.tw/static/25753.6c691880.js; raw/ilearn.thu.edu.tw/static/26755.0336f93f.js; raw/ilearn.thu.edu.tw/static/27609.04e6959b.js; raw/ilearn.thu.edu.tw/static/28492.65731154.js,404
/api/subject-libs/,subject-libs,DELETE; GET; OBSERVED_GET; POST; PUT; UNKNOWN,43,25,raw/ilearn.thu.edu.tw/api/subject-libs/index.json; raw/ilearn.thu.edu.tw/static/12117.76d49271.js; raw/ilearn.thu.edu.tw/static/14615.8c38d7d4.js; raw/ilearn.thu.edu.tw/static/19446.6fdaa169.js; raw/ilearn.thu.edu.tw/static/23977.ebaa5322.js; raw/ilearn.thu.edu.tw/static/34691.515731f8.js; raw/ilearn.thu.edu.tw/static/37192.d0839c93.js; raw/ilearn.thu.edu.tw/static/37336.084b8613.js; raw/ilearn.thu.edu.tw/static/40251.b93d27d4.js; raw/ilearn.thu.edu.tw/static/49294.50a0a8b3.js,404
/api/groups/,groups,DELETE; GET; OBSERVED_GET; POST; PUT,36,13,raw/ilearn.thu.edu.tw/api/groups/index.json; raw/ilearn.thu.edu.tw/static/26703.244911cf.js; raw/ilearn.thu.edu.tw/static/28605.fa92e51e.js; raw/ilearn.thu.edu.tw/static/36105.3af57479.js; raw/ilearn.thu.edu.tw/static/37873.f1187b3e.js; raw/ilearn.thu.edu.tw/static/44346.7b57b52e.js; raw/ilearn.thu.edu.tw/static/63256.3e10694e.js; raw/ilearn.thu.edu.tw/static/66297.9aa2f6d5.js; raw/ilearn.thu.edu.tw/static/72088.556a45f3.js; raw/ilearn.thu.edu.tw/static/78723.49249bea.js,404
/api/blueprint/,blueprint,DELETE; GET; OBSERVED_GET; POST; UNKNOWN,32,19,raw/ilearn.thu.edu.tw/api/blueprint/index.json; raw/ilearn.thu.edu.tw/static/10035.853f7abc.js; raw/ilearn.thu.edu.tw/static/2276.c8da6806.js; raw/ilearn.thu.edu.tw/static/25170.2159310c.js; raw/ilearn.thu.edu.tw/static/27589.ae3b1ca0.js; raw/ilearn.thu.edu.tw/static/2896.c02ef48c.js; raw/ilearn.thu.edu.tw/static/49420.b30bc6e4.js; raw/ilearn.thu.edu.tw/static/49592.0ad88a29.js; raw/ilearn.thu.edu.tw/static/50559.79503daf.js; raw/ilearn.thu.edu.tw/static/50574.d4b1d445.js,404
/api/vtrses/,vtrses,DELETE; GET; OBSERVED_GET; POST; PUT,29,12,raw/ilearn.thu.edu.tw/api/vtrses/index.json; raw/ilearn.thu.edu.tw/static/23977.ebaa5322.js; raw/ilearn.thu.edu.tw/static/40251.b93d27d4.js; raw/ilearn.thu.edu.tw/static/41568.0adf30d4.js; raw/ilearn.thu.edu.tw/static/42585.3fa356ed.js; raw/ilearn.thu.edu.tw/static/56748-43cfa952.js; raw/ilearn.thu.edu.tw/static/67133.08e1a687.js; raw/ilearn.thu.edu.tw/static/67853-6eb5a068.js; raw/ilearn.thu.edu.tw/static/73644.1ab1287a.js; raw/ilearn.thu.edu.tw/static/78946.84d34ae9.js,404
