url,status,path,bytes,title,ng_apps,ng_controllers_count,ng_controllers_sample,script_count,link_count,anchor_count,custom_components
https://ilearn.thu.edu.tw/course/164205/content,200,raw/ilearn.thu.edu.tw/course/164205/content.html,1481903,iLearn 數位平台,syllabus,29,AccessForbiddenController; AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; CourseHeaderCtrl; CourseMenuCtrl; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController,78,105,21,svg-icon; air-notebook-grading-button; air-notebook-construe-button; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view
https://ilearn.thu.edu.tw/course/165573/content,200,raw/ilearn.thu.edu.tw/course/165573/content.html,1481917,iLearn 數位平台,syllabus,29,AccessForbiddenController; AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; CourseHeaderCtrl; CourseMenuCtrl; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController,78,105,21,svg-icon; air-notebook-grading-button; air-notebook-construe-button; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view
https://ilearn.thu.edu.tw/course/166026/content,200,raw/ilearn.thu.edu.tw/course/166026/content.html,1466121,iLearn 數位平台,syllabus,29,AccessForbiddenController; AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; CourseHeaderCtrl; CourseMenuCtrl; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController,78,105,21,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/166800/content,200,raw/ilearn.thu.edu.tw/course/166800/content.html,1466115,iLearn 數位平台,syllabus,29,AccessForbiddenController; AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; CourseHeaderCtrl; CourseMenuCtrl; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController,78,105,21,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/169476/content,200,raw/ilearn.thu.edu.tw/course/169476/content.html,1466097,iLearn 數位平台,syllabus,29,AccessForbiddenController; AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; CourseHeaderCtrl; CourseMenuCtrl; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController,78,105,21,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/add?course_type=13,404,raw/ilearn.thu.edu.tw/course/add__q_515421e58e.html,514836,iLearn 數位平台,common,24,AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController; FooterCtrl; HeaderCtrl; HeaderWarningController,78,105,15,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/avatarSmallUrl,404,raw/ilearn.thu.edu.tw/course/avatarSmallUrl.html,514839,iLearn 數位平台,common,24,AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController; FooterCtrl; HeaderCtrl; HeaderWarningController,78,105,15,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/capture_url,404,raw/ilearn.thu.edu.tw/course/capture_url.html,514839,iLearn 數位平台,common,24,AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController; FooterCtrl; HeaderCtrl; HeaderWarningController,78,105,15,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/classroom-exam/,404,raw/ilearn.thu.edu.tw/course/classroom-exam/index.html,514839,iLearn 數位平台,common,24,AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController; FooterCtrl; HeaderCtrl; HeaderWarningController,78,105,15,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
https://ilearn.thu.edu.tw/course/classroom-exam/avatarSmallUrl,404,raw/ilearn.thu.edu.tw/course/classroom-exam/avatarSmallUrl.html,514836,iLearn 數位平台,common,24,AudioPlayCtrl; CalendarController; CalendarEventController; CalendarTimetableController; CodeEditorController; EmbedVideoController; FilePreviewerController; FileSelectController; FolderUploadController; FooterCtrl; HeaderCtrl; HeaderWarningController,78,105,15,svg-icon; match-subject-info; vue-announcement; vue-alert-messages; notification-container; calendar-color-select; wg-calendar; material-file-select-list; question-submit-panel; ai-quiz-subjects-view; collapse-operation
